Código,Departamento,Provincia,Distrito,No Pobre,Pobre,Pobre extremo
40205,AREQUIPA,CAMANA,NICOLAS DE PIEROLA,332,648,192
40206,AREQUIPA,CAMANA,OCONA,701,238,188
40207,AREQUIPA,CAMANA,QUILCA,81,72,14
40208,AREQUIPA,CAMANA,SAMUEL PASTOR,1630,1347,758
40301,AREQUIPA,CARAVELI,CARAVELI,198,618,189
40302,AREQUIPA,CARAVELI,ACARI,373,535,82
40303,AREQUIPA,CARAVELI,ATICO,107,517,128
40304,AREQUIPA,CARAVELI,ATIQUIPA,94,50,33
40305,AREQUIPA,CARAVELI,BELLA UNION,184,435,148
40306,AREQUIPA,CARAVELI,CAHUACHO,47,164,66
40307,AREQUIPA,CARAVELI,CHALA,388,1049,184
40308,AREQUIPA,CARAVELI,CHAPARRA,359,88,58
40309,AREQUIPA,CARAVELI,HUANUHUANU,297,336,101
40310,AREQUIPA,CARAVELI,JAQUI,208,172,42
40311,AREQUIPA,CARAVELI,LOMAS,199,37,44
40312,AREQUIPA,CARAVELI,QUICACHA,169,174,68
40313,AREQUIPA,CARAVELI,YAUCA,315,237,102
40401,AREQUIPA,CASTILLA,APLAO,1124,1397,371
40402,AREQUIPA,CASTILLA,ANDAGUA,28,157,207
40403,AREQUIPA,CASTILLA,AYO,19,54,43
40404,AREQUIPA,CASTILLA,CHACHAS,54,195,285
40405,AREQUIPA,CASTILLA,CHILCAYMARCA,31,32,164
40406,AREQUIPA,CASTILLA,CHOCO,10,52,227
40407,AREQUIPA,CASTILLA,HUANCARQUI,236,144,34
40408,AREQUIPA,CASTILLA,MACHAGUAY,45,83,124
40409,AREQUIPA,CASTILLA,ORCOPAMPA,233,568,262
40410,AREQUIPA,CASTILLA,PAMPACOLCA,207,184,99
40411,AREQUIPA,CASTILLA,TIPAN,45,57,78
40412,AREQUIPA,CASTILLA,UNON,14,26,23
40413,AREQUIPA,CASTILLA,URACA,405,562,280
40414,AREQUIPA,CASTILLA,VIRACO,35,169,200
40501,AREQUIPA,CAYLLOMA,CHIVAY,800,1025,330
40502,AREQUIPA,CAYLLOMA,ACHOMA,92,135,110
40503,AREQUIPA,CAYLLOMA,CABANACONDE,69,320,115
40504,AREQUIPA,CAYLLOMA,CALLALLI,139,169,354
40505,AREQUIPA,CAYLLOMA,CAYLLOMA,138,346,392
40506,AREQUIPA,CAYLLOMA,COPORAQUE,91,172,108
40507,AREQUIPA,CAYLLOMA,HUAMBO,66,120,126
40508,AREQUIPA,CAYLLOMA,HUANCA,37,172,222
40509,AREQUIPA,CAYLLOMA,ICHUPAMPA,56,78,125
40510,AREQUIPA,CAYLLOMA,LARI,35,203,181
40511,AREQUIPA,CAYLLOMA,LLUTA,33,121,178
40512,AREQUIPA,CAYLLOMA,MACA,59,115,129
40513,AREQUIPA,CAYLLOMA,MADRIGAL,83,144,48
40514,AREQUIPA,CAYLLOMA,SAN ANTONIO DE CHUCA,91,72,236
40515,AREQUIPA,CAYLLOMA,SIBAYO,38,50,155
40516,AREQUIPA,CAYLLOMA,TAPAY,45,84,96
40517,AREQUIPA,CAYLLOMA,TISCO,58,54,468
40518,AREQUIPA,CAYLLOMA,TUTI,47,75,121
40519,AREQUIPA,CAYLLOMA,YANQUE,136,233,328
40520,AREQUIPA,CAYLLOMA,MAJES,6138,14184,2344
40601,AREQUIPA,CONDESUYOS,CHUQUIBAMBA,143,562,340
40602,AREQUIPA,CONDESUYOS,ANDARAY,33,58,121
40603,AREQUIPA,CONDESUYOS,CAYARANI,54,164,709
40604,AREQUIPA,CONDESUYOS,CHICHAS,28,38,186
40605,AREQUIPA,CONDESUYOS,IRAY,29,95,108
40606,AREQUIPA,CONDESUYOS,RIO GRANDE,388,287,100
40607,AREQUIPA,CONDESUYOS,SALAMANCA,29,84,119
40608,AREQUIPA,CONDESUYOS,YANAQUIHUA,226,444,372
40701,AREQUIPA,ISLAY,MOLLENDO,2021,2843,440
40702,AREQUIPA,ISLAY,COCACHACRA,1043,1797,329
40703,AREQUIPA,ISLAY,DEAN VALDIVIA,586,722,150
40704,AREQUIPA,ISLAY,ISLAY,356,876,175
40705,AREQUIPA,ISLAY,MEJIA,225,57,38
40706,AREQUIPA,ISLAY,PUNTA DE BOMBON,919,1628,378
40801,AREQUIPA,LA UNION,COTAHUASI,118,405,248
40802,AREQUIPA,LA UNION,ALCA,23,365,255
40803,AREQUIPA,LA UNION,CHARCANA,25,131,98
40804,AREQUIPA,LA UNION,HUAYNACOTAS,28,302,214
40805,AREQUIPA,LA UNION,PAMPAMARCA,25,143,238
40806,AREQUIPA,LA UNION,PUYCA,33,237,478
40807,AREQUIPA,LA UNION,QUECHUALLA,16,65,87
40808,AREQUIPA,LA UNION,SAYLA,8,47,74
40809,AREQUIPA,LA UNION,TAURIA,16,60,49
40810,AREQUIPA,LA UNION,TOMEPAMPA,51,141,60
40811,AREQUIPA,LA UNION,TORO,14,101,128
50101,AYACUCHO,HUAMANGA,AYACUCHO,41718,76645,81696
50102,AYACUCHO,HUAMANGA,ACOCRO,41718,76645,81696
50103,AYACUCHO,HUAMANGA,ACOS VINCHOS,60,650,1225
50104,AYACUCHO,HUAMANGA,CARMEN ALTO,2091,2946,2413
50105,AYACUCHO,HUAMANGA,CHIARA,174,991,1543
50106,AYACUCHO,HUAMANGA,OCROS,168,1049,1278
50107,AYACUCHO,HUAMANGA,PACAYCASA,195,683,336
50108,AYACUCHO,HUAMANGA,QUINUA,143,758,992
50109,AYACUCHO,HUAMANGA,SAN JOSE DE TICLLAS,34,152,469
50110,AYACUCHO,HUAMANGA,SAN JUAN BAUTISTA,4565,3788,1686
50111,AYACUCHO,HUAMANGA,SANTIAGO DE PISCHA,57,216,308
50112,AYACUCHO,HUAMANGA,SOCOS,133,444,1969
50113,AYACUCHO,HUAMANGA,TAMBILLO,226,1251,713
50114,AYACUCHO,HUAMANGA,VINCHOS,287,764,4021
50115,AYACUCHO,HUAMANGA,JESUS NAZARENO,2918,1939,1200
,AYACUCHO,HUAMANGA,ANDRES AVELINO CACERES DORREGAY,2731,2808,1387
50201,AYACUCHO,CANGALLO,CANGALLO,189,879,1136
50202,AYACUCHO,CANGALLO,CHUSCHI,162,1153,1364
50203,AYACUCHO,CANGALLO,LOS MOROCHUCOS,226,955,2180
50204,AYACUCHO,CANGALLO,MARIA PARADO DE BELLIDO,44,407,493
50205,AYACUCHO,CANGALLO,PARAS,93,319,1270
50206,AYACUCHO,CANGALLO,TOTOS,54,651,455
50301,AYACUCHO,HUANCA SANCOS,SANCOS,180,606,343
50302,AYACUCHO,HUANCA SANCOS,CARAPO,90,400,197
50303,AYACUCHO,HUANCA SANCOS,SACSAMARCA,40,304,265
50304,AYACUCHO,HUANCA SANCOS,SANTIAGO DE LUCANAMARCA,103,385,364
50401,AYACUCHO,HUANTA,HUANTA,3019,5083,7228
50402,AYACUCHO,HUANTA,AYAHUANCO,64,277,451
50403,AYACUCHO,HUANTA,HUAMANGUILLA,84,910,514
50404,AYACUCHO,HUANTA,IGUAIN,117,594,647
50405,AYACUCHO,HUANTA,LURICOCHA,318,858,1539
50406,AYACUCHO,HUANTA,SANTILLANA,52,482,814
50407,AYACUCHO,HUANTA,SIVIA,517,1281,1651
50408,AYACUCHO,HUANTA,LLOCHEGUA,1034,1380,786
50409,AYACUCHO,HUANTA,CANAYRE,94,568,615
