Departamento,Provincia,Distrito,No Pobre,Pobre,Pobre extremo
AYACUCHO,HUAMANGA,QUINUA,143,758,992
AYACUCHO,HUAMANGA,SAN JOSE DE TICLLAS,34,152,469
AYACUCHO,HUAMANGA,SAN JUAN BAUTISTA,4565,3788,1686
AYACUCHO,HUAMANGA,SANTIAGO DE PISCHA,57,216,308
AYACUCHO,HUAMANGA,SOCOS,133,444,1969
AYACUCHO,HUAMANGA,TAMBILLO,226,1251,713
AYACUCHO,HUAMANGA,VINCHOS,287,764,4021
AYACUCHO,HUAMANGA,JESUS NAZARENO,2918,1939,1200
AYACUCHO,HUAMANGA,ANDRES AVELINO CACERES DORREGAY,2731,2808,1387
AYACUCHO,CANGALLO,CANGALLO,189,879,1136
AYACUCHO,CANGALLO,CHUSCHI,162,1153,1364
AYACUCHO,CANGALLO,LOS MOROCHUCOS,226,955,2180
AYACUCHO,CANGALLO,MARIA PARADO DE BELLIDO,44,407,493
AYACUCHO,CANGALLO,PARAS,93,319,1270
AYACUCHO,CANGALLO,TOTOS,54,651,455
AYACUCHO,HUANCA SANCOS,SANCOS,180,606,343
AYACUCHO,HUANCA SANCOS,CARAPO,90,400,197
AYACUCHO,HUANCA SANCOS,SACSAMARCA,40,304,265
AYACUCHO,HUANCA SANCOS,SANTIAGO DE LUCANAMARCA,103,385,364
AYACUCHO,HUANTA,HUANTA,3019,5083,7228
AYACUCHO,HUANTA,AYAHUANCO,64,277,451
AYACUCHO,HUANTA,HUAMANGUILLA,84,910,514
AYACUCHO,HUANTA,IGUAIN,117,594,647
AYACUCHO,HUANTA,LURICOCHA,318,858,1539
AYACUCHO,HUANTA,SANTILLANA,52,482,814
AYACUCHO,HUANTA,SIVIA,517,1281,1651
AYACUCHO,HUANTA,LLOCHEGUA,1034,1380,786
AYACUCHO,HUANTA,CANAYRE,94,568,615
AYACUCHO,HUANTA,UCHURACCAY,35,201,1175
AYACUCHO,HUANTA,PUCACOLPA,42,333,731
AYACUCHO,HUANTA,CHACA,23,504,272
AYACUCHO,HUANTA,PUTIS,3,166,5
AYACUCHO,LA MAR,SAN MIGUEL,455,1311,1231
AYACUCHO,LA MAR,ANCO,347,1534,927
AYACUCHO,LA MAR,AYNA,596,1337,862
AYACUCHO,LA MAR,CHILCAS,52,276,521
AYACUCHO,LA MAR,CHUNGUI,53,595,985
AYACUCHO,LA MAR,LUIS CARRANZA,40,304,320
AYACUCHO,LA MAR,SANTA ROSA,661,1485,1509
AYACUCHO,LA MAR,TAMBO,467,1927,1582
AYACUCHO,LA MAR,SAMUGARI,335,587,2255
AYACUCHO,LA MAR,ANCHIHUAY,104,457,1065
AYACUCHO,LA MAR,ORONCCOY,22,29,500
AYACUCHO,LA MAR,UNION PROGRESO,62,246,496
AYACUCHO,LA MAR,RIO MAGDALENA,3,90,458
AYACUCHO,LA MAR,NINABAMBA,37,366,330
AYACUCHO,LA MAR,PATIBAMBA,94,314,203
AYACUCHO,LUCANAS,PUQUIO,1306,2165,1210
AYACUCHO,LUCANAS,AUCARA,58,412,386
AYACUCHO,LUCANAS,CABANA,56,330,46
AYACUCHO,LUCANAS,CARMEN SALCEDO,92,268,78
AYACUCHO,LUCANAS,CHAVIÑA,76,430,237
AYACUCHO,LUCANAS,CHIPAO,66,266,591
AYACUCHO,LUCANAS,HUAC-HUAS,67,229,221
AYACUCHO,LUCANAS,LARAMATE,40,299,158
AYACUCHO,LUCANAS,LEONCIO PRADO,31,152,214
AYACUCHO,LUCANAS,LLAUTA,69,187,79
AYACUCHO,LUCANAS,LUCANAS,140,431,359
AYACUCHO,LUCANAS,OCAÑA,27,231,627
AYACUCHO,LUCANAS,OTOCA,105,213,332
AYACUCHO,LUCANAS,SAISA,32,54,35
AYACUCHO,LUCANAS,SAN CRISTOBAL,18,250,256
AYACUCHO,LUCANAS,SAN JUAN,46,134,52
AYACUCHO,LUCANAS,SAN PEDRO,47,471,383
AYACUCHO,LUCANAS,SAN PEDRO DE PALCO,38,176,220
AYACUCHO,LUCANAS,SANCOS,164,432,397
AYACUCHO,LUCANAS,SANTA ANA DE HUAYCAHUACHO,16,150,56
AYACUCHO,LUCANAS,SANTA LUCIA,106,155,144
